Frame,Time,Angle,BrailleFlag,PosX,PosY,PosZ,RotX,RotY,RotZ
92,5.719,41.58,1,2.649,0.020,13.502,0.00,344.95,0.00
93,5.770,41.58,1,2.525,0.020,13.469,0.00,344.95,0.00
94,5.823,41.58,1,2.399,0.020,13.435,0.00,347.71,0.00
95,5.880,38.82,1,2.260,0.020,13.404,0.00,352.22,0.00
96,5.936,34.31,1,2.120,0.020,13.385,0.00,357.34,0.00
97,5.993,29.19,1,1.978,0.020,13.379,0.00,359.57,0.00
98,6.047,26.95,1,1.842,0.020,13.378,0.00,0.55,0.00
99,6.100,25.98,1,1.710,0.020,13.379,0.00,0.99,0.00
100,6.155,25.54,1,1.573,0.020,13.381,0.00,1.20,0.00
101,6.209,25.33,1,1.437,0.020,13.384,0.00,1.30,0.00
102,6.266,25.23,1,1.295,0.020,13.387,0.00,1.34,0.00
103,6.325,25.19,1,1.148,0.020,13.391,0.00,1.36,0.00
104,6.377,25.17,1,1.017,0.020,13.394,0.00,1.36,0.00
105,6.428,25.17,1,0.891,0.020,13.397,0.00,3.92,0.00
106,6.481,22.61,1,0.757,0.020,13.406,0.00,8.05,0.00
107,6.532,18.48,1,0.631,0.020,13.424,0.00,9.98,0.00
108,6.584,16.55,1,0.504,0.020,13.446,0.00,10.92,0.00
109,6.634,15.61,1,0.382,0.020,13.470,0.00,11.38,0.00
110,6.682,15.15,1,0.263,0.020,13.494,0.00,11.61,0.00
111,6.732,14.92,1,0.141,0.020,13.519,0.00,11.73,0.00
112,6.783,14.80,1,0.016,0.020,13.545,0.00,11.79,0.00
113,6.835,14.74,1,-0.111,0.020,13.571,0.00,11.82,0.00
114,6.884,14.71,1,-0.232,0.020,13.597,0.00,11.83,0.00
115,6.940,14.70,1,-0.368,0.020,13.625,0.00,14.94,0.00
116,6.992,11.59,1,-0.494,0.020,13.659,0.00,19.03,0.00
117,7.043,7.50,1,-0.614,0.020,13.700,0.00,23.58,0.00
118,7.092,2.95,1,-0.725,0.020,13.749,0.00,25.82,0.00
119,7.139,0.71,1,-0.832,0.020,13.801,0.00,26.96,0.00
120,7.184,-0.43,1,-0.933,0.020,13.852,0.00,27.56,0.00
121,7.229,-1.03,1,-1.033,0.020,13.904,0.00,27.88,0.00
122,7.276,-1.35,1,-1.135,0.020,13.958,0.00,28.06,0.00
123,7.321,-1.53,1,-1.235,0.020,14.011,0.00,28.16,0.00
124,7.365,-1.63,1,-1.333,0.020,14.063,0.00,28.21,0.00
125,7.410,-1.68,1,-1.432,0.020,14.117,0.00,28.24,0.00
126,7.455,-1.71,1,-1.531,0.020,14.170,0.00,28.26,0.00
127,7.502,-1.73,1,-1.634,0.020,14.225,0.00,28.27,0.00
128,7.546,-1.74,1,-1.730,0.020,14.277,0.00,28.27,0.00
129,7.592,-1.74,1,-1.832,0.020,14.332,0.00,28.28,0.00
130,7.636,-1.75,1,-1.929,0.020,14.384,0.00,28.28,0.00
131,7.681,-1.75,1,-2.028,0.020,14.437,0.00,28.28,0.00
132,7.729,-1.75,1,-2.134,0.020,14.494,0.00,28.28,0.00
133,7.773,-1.75,1,-2.230,0.020,14.546,0.00,28.28,0.00
134,7.818,-1.75,1,-2.330,0.020,14.599,0.00,28.28,0.00
135,7.862,-1.75,1,-2.427,0.020,14.652,0.00,28.28,0.00
136,7.906,-1.75,1,-2.524,0.020,14.704,0.00,28.28,0.00
137,7.952,-1.75,1,-2.625,0.020,14.758,0.00,28.28,0.00
138,7.996,-1.75,1,-2.720,0.020,14.810,0.00,28.28,0.00
139,8.041,-1.75,1,-2.820,0.020,14.863,0.00,28.28,0.00
140,8.085,-1.75,1,-2.917,0.020,14.915,0.00,28.28,0.00
141,8.130,-1.75,1,-3.016,0.020,14.969,0.00,28.28,0.00
142,8.176,-1.75,1,-3.118,0.020,15.024,0.00,28.28,0.00
143,8.220,-1.75,1,-3.215,0.020,15.076,0.00,28.28,0.00
144,8.264,-1.75,1,-3.311,0.020,15.127,0.00,28.28,0.00
145,8.307,-1.75,1,-3.407,0.020,15.179,0.00,28.28,0.00
146,8.351,-1.75,1,-3.503,0.020,15.231,0.00,28.28,0.00
147,8.396,-1.75,1,-3.601,0.020,15.283,0.00,28.28,0.00
148,8.439,-1.75,1,-3.696,0.020,15.334,0.00,28.28,0.00
149,8.483,-1.75,1,-3.793,0.020,15.387,0.00,28.28,0.00
150,8.529,-1.75,1,-3.896,0.020,15.442,0.00,28.28,0.00
151,8.577,-1.75,1,-4.002,0.020,15.499,0.00,28.28,0.00
152,8.630,-1.75,1,-4.117,0.020,15.561,0.00,28.28,0.00
153,8.673,-1.75,1,-4.211,0.020,15.612,0.00,28.28,0.00
154,8.717,-1.75,1,-4.309,0.020,15.664,0.00,28.28,0.00
155,8.764,-1.75,1,-4.412,0.020,15.720,0.00,28.28,0.00
156,8.807,-1.75,1,-4.508,0.020,15.771,0.00,28.28,0.00
157,8.854,-1.75,1,-4.611,0.020,15.827,0.00,28.28,0.00
158,8.897,-1.75,1,-4.705,0.020,15.877,0.00,28.28,0.00
159,8.941,-1.75,1,-4.802,0.020,15.929,0.00,28.28,0.00
160,8.986,-1.75,1,-4.900,0.020,15.982,0.00,28.28,0.00
161,9.030,-1.75,1,-4.998,0.020,16.035,0.00,28.28,0.00
162,9.077,-1.75,1,-5.102,0.020,16.091,0.00,28.28,0.00
163,9.122,-1.75,1,-5.201,0.020,16.144,0.00,28.28,0.00
164,9.167,-1.75,1,-5.299,0.020,16.197,0.00,28.28,0.00
165,9.211,-1.75,1,-5.397,0.020,16.249,0.00,28.28,0.00
166,9.255,-1.75,1,-5.493,0.020,16.301,0.00,28.28,0.00
167,9.299,-1.75,1,-5.591,0.020,16.354,0.00,28.28,0.00
168,9.343,-1.75,1,-5.687,0.020,16.405,0.00,28.28,0.00
169,9.386,-1.75,1,-5.782,0.020,16.457,0.00,28.28,0.00
170,9.429,-1.75,1,-5.877,0.020,16.508,0.00,28.28,0.00
171,9.472,-1.75,1,-5.972,0.020,16.559,0.00,28.28,0.00
172,9.517,-1.75,1,-6.070,0.020,16.612,0.00,28.28,0.00
173,9.561,-1.75,1,-6.167,0.020,16.664,0.00,28.28,0.00
174,9.605,-1.75,1,-6.265,0.020,16.716,0.00,28.28,0.00
175,9.649,-1.75,1,-6.360,0.020,16.768,0.00,28.28,0.00
176,9.692,-1.75,1,-6.455,0.020,16.819,0.00,28.28,0.00
177,9.736,-1.75,1,-6.552,0.020,16.871,0.00,28.28,0.00
178,9.779,-1.75,1,-6.647,0.020,16.922,0.00,28.28,0.00
179,9.822,-1.75,1,-6.741,0.020,16.972,0.00,28.28,0.00
180,9.865,-1.75,1,-6.837,0.020,17.024,0.00,28.28,0.00
181,9.908,-1.75,1,-6.931,0.020,17.075,0.00,28.28,0.00
182,9.952,-1.75,1,-7.029,0.020,17.127,0.00,28.28,0.00
183,9.997,-1.75,1,-7.126,0.020,17.180,0.00,28.28,0.00
184,10.038,-1.75,1,-7.218,0.020,17.229,0.00,28.28,0.00
185,10.082,-1.75,1,-7.314,0.020,17.281,0.00,28.28,0.00
186,10.126,-1.75,1,-7.411,0.020,17.333,0.00,28.28,0.00
187,10.171,-1.75,1,-7.509,0.020,17.386,0.00,28.28,0.00
188,10.213,-1.75,1,-7.603,0.020,17.436,0.00,28.28,0.00
189,10.256,-1.75,1,-7.697,0.020,17.487,0.00,28.28,0.00
190,10.299,-1.75,1,-7.792,0.020,17.538,0.00,28.28,0.00
191,10.341,-1.75,1,-7.885,0.020,17.588,0.00,28.28,0.00
192,10.385,-1.75,1,-7.982,0.020,17.640,0.00,28.28,0.00
193,10.429,-1.75,1,-8.078,0.020,17.692,0.00,26.39,0.00
194,10.471,0.14,1,-8.171,0.020,17.738,0.00,23.60,0.00
195,10.515,2.93,1,-8.272,0.020,17.782,0.00,20.01,0.00
196,10.557,6.51,1,-8.373,0.020,17.819,0.00,18.02,0.00
197,10.603,8.51,1,-8.481,0.020,17.854,0.00,16.86,0.00
198,10.647,9.67,1,-8.585,0.020,17.886,0.00,16.24,0.00
199,10.689,10.29,1,-8.687,0.020,17.915,0.00,15.89,0.00
200,10.735,10.64,1,-8.797,0.020,17.947,0.00,15.69,0.00
201,10.779,10.84,1,-8.904,0.020,17.977,0.00,15.58,0.00
202,10.829,10.95,1,-9.023,0.020,18.010,0.00,15.51,0.00
203,10.879,11.02,1,-9.145,0.020,18.044,0.00,15.48,0.00
204,10.922,11.05,1,-9.248,0.020,18.072,0.00,15.47,0.00
205,10.965,11.06,1,-9.352,0.020,18.101,0.00,15.46,0.00
206,11.009,11.07,1,-9.459,0.020,18.130,0.00,15.45,0.00
207,11.056,11.08,1,-9.571,0.020,18.162,0.00,13.27,0.00
208,11.103,13.26,1,-9.685,0.020,18.189,0.00,12.11,0.00
209,11.151,14.42,1,-9.803,0.020,18.214,0.00,11.49,0.00
210,11.196,15.04,1,-9.914,0.020,18.236,0.00,11.17,0.00
211,11.243,15.36,1,-10.028,0.020,18.259,0.00,10.99,0.00
212,11.290,15.54,1,-10.143,0.020,18.281,0.00,10.90,0.00
213,11.334,15.63,1,-10.252,0.020,18.302,0.00,10.85,0.00
214,11.379,15.68,1,-10.363,0.020,18.323,0.00,10.82,0.00
215,11.424,15.71,1,-10.473,0.020,18.344,0.00,10.81,0.00
216,11.470,15.72,1,-10.586,0.020,18.366,0.00,10.80,0.00
217,11.517,15.73,1,-10.700,0.020,18.388,0.00,10.79,0.00
218,11.562,15.73,1,-10.811,0.020,18.409,0.00,10.79,0.00
219,11.611,15.74,1,-10.932,0.020,18.432,0.00,10.79,0.00
220,11.658,15.74,1,-11.046,0.020,18.454,0.00,8.64,0.00
221,11.704,17.89,1,-11.161,0.020,18.471,0.00,7.48,0.00
222,11.753,19.05,1,-11.283,0.020,18.487,0.00,6.86,0.00
223,11.799,19.67,1,-11.396,0.020,18.501,0.00,6.55,0.00
224,11.844,19.98,1,-11.509,0.020,18.514,0.00,6.38,0.00
225,11.891,20.15,1,-11.624,0.020,18.527,0.00,6.28,0.00
226,11.936,20.25,1,-11.736,0.020,18.539,0.00,6.23,0.00
227,11.982,20.30,1,-11.852,0.020,18.552,0.00,6.20,0.00
228,12.029,20.33,1,-11.968,0.020,18.564,0.00,6.19,0.00
229,12.074,20.34,1,-12.080,0.020,18.576,0.00,6.18,0.00
230,12.121,20.35,1,-12.196,0.020,18.589,0.00,6.18,0.00
231,12.167,20.35,1,-12.311,0.020,18.601,0.00,6.18,0.00
232,12.214,20.35,1,-12.428,0.020,18.614,0.00,6.17,0.00
233,12.260,20.36,1,-12.542,0.020,18.626,0.00,6.17,0.00
234,12.305,20.36,1,-12.653,0.020,18.638,0.00,6.17,0.00
235,12.350,20.36,1,-12.766,0.020,18.651,0.00,6.17,0.00
236,12.395,20.36,1,-12.878,0.020,18.663,0.00,6.17,0.00
237,12.441,20.36,1,-12.992,0.020,18.675,0.00,6.17,0.00
238,12.487,20.36,1,-13.106,0.020,18.687,0.00,6.17,0.00
239,12.532,20.36,1,-13.218,0.020,18.700,0.00,6.17,0.00
240,12.577,20.36,1,-13.329,0.020,18.712,0.00,6.17,0.00
241,12.623,20.36,1,-13.444,0.020,18.724,0.00,6.17,0.00
242,12.669,20.36,1,-13.559,0.020,18.736,0.00,6.17,0.00
243,12.715,20.36,1,-13.673,0.020,18.749,0.00,6.17,0.00
244,12.761,20.36,1,-13.788,0.020,18.761,0.00,6.17,0.00
